data,descricao,abrangencia
2010-01-01,Ano Novo,NACIONAL
2010-01-20,"Dia de São Sebastião, Padroeiro da cidade",MUNICIPAL
2010-02-15,Segunda de Carnaval,FACULTATIVO
2010-02-16,Carnaval,ESTADUAL
2010-02-17,Quarta Feira de Cinzas,FACULTATIVO
2010-04-02,Sexta-Feira Santa,NACIONAL
2010-04-21,Dia de Tiradentes,NACIONAL
2010-04-23,Dia de São Jorge,ESTADUAL
2010-05-01,Dia do Trabalho,NACIONAL
2010-06-03,Corpus Christi,FACULTATIVO
2010-09-07,Independência do Brasil,NACIONAL
2010-10-12,Nossa Senhora Aparecida,NACIONAL
2010-10-28,Dia do Servidor Público,FACULTATIVO
2010-11-02,Dia de Finados,NACIONAL
2010-11-15,Proclamação da República,NACIONAL
2010-11-20,Dia da Consciência Negra,ESTADUAL
2010-12-25,Natal,NACIONAL
2010-12-31,"Após o meio-dia, Véspera de Ano Novo",FACULTATIVO
2011-01-01,Ano Novo,NACIONAL
2011-01-20,"Dia de São Sebastião, Padroeiro da cidade",MUNICIPAL
2011-03-07,Segunda de Carnaval,FACULTATIVO
2011-03-08,Carnaval,ESTADUAL
2011-03-09,Quarta Feira de Cinzas,FACULTATIVO
2011-04-21,Dia de Tiradentes,NACIONAL
2011-04-22,Sexta-Feira Santa,NACIONAL
2011-04-23,Dia de São Jorge,ESTADUAL
2011-05-01,Dia do Trabalho,NACIONAL
2011-06-23,Corpus Christi,FACULTATIVO
2011-09-07,Independência do Brasil,NACIONAL
2011-10-12,Nossa Senhora Aparecida,NACIONAL
2011-10-28,Dia do Servidor Público,FACULTATIVO
2011-11-02,Dia de Finados,NACIONAL
2011-11-15,Proclamação da República,NACIONAL
2011-11-20,Dia da Consciência Negra,ESTADUAL
2011-12-25,Natal,NACIONAL
2011-12-31,"Após o meio-dia, Véspera de Ano Novo",FACULTATIVO
2012-01-01,Ano Novo,NACIONAL
2012-01-20,"Dia de São Sebastião, Padroeiro da cidade",MUNICIPAL
2012-02-20,Segunda de Carnaval,FACULTATIVO
2012-02-21,Carnaval,ESTADUAL
2012-02-22,Quarta Feira de Cinzas,FACULTATIVO
2012-04-06,Sexta-Feira Santa,NACIONAL
2012-04-21,Dia de Tiradentes,NACIONAL
2012-04-23,Dia de São Jorge,ESTADUAL
2012-05-01,Dia do Trabalho,NACIONAL
2012-06-07,Corpus Christi,FACULTATIVO
2012-09-07,Independência do Brasil,NACIONAL
2012-10-12,Nossa Senhora Aparecida,NACIONAL
2012-10-28,Dia do Servidor Público,FACULTATIVO
2012-11-02,Dia de Finados,NACIONAL
2012-11-15,Proclamação da República,NACIONAL
2012-11-20,Dia da Consciência Negra,ESTADUAL
2012-12-25,Natal,NACIONAL
2012-12-31,"Após o meio-dia, Véspera de Ano Novo",FACULTATIVO
2013-01-01,Ano Novo,NACIONAL
2013-01-20,"Dia de São Sebastião, Padroeiro da cidade",MUNICIPAL
2013-02-11,Segunda de Carnaval,FACULTATIVO
2013-02-12,Carnaval,ESTADUAL
2013-02-13,Quarta Feira de Cinzas,FACULTATIVO
2013-03-29,Sexta-Feira Santa,NACIONAL
2013-04-21,Dia de Tiradentes,NACIONAL
2013-04-23,Dia de São Jorge,ESTADUAL
2013-05-01,Dia do Trabalho,NACIONAL
2013-05-30,Corpus Christi,FACULTATIVO
2013-09-07,Independência do Brasil,NACIONAL
2013-10-12,Nossa Senhora Aparecida,NACIONAL
2013-10-28,Dia do Servidor Público,FACULTATIVO
2013-11-02,Dia de Finados,NACIONAL
2013-11-15,Proclamação da República,NACIONAL
2013-11-20,Dia da Consciência Negra,ESTADUAL
2013-12-25,Natal,NACIONAL
2013-12-31,"Após o meio-dia, Véspera de Ano Novo",FACULTATIVO
2014-01-01,Ano Novo,NACIONAL
2014-01-20,"Dia de São Sebastião, Padroeiro da cidade",MUNICIPAL
2014-03-03,Segunda de Carnaval,FACULTATIVO
2014-03-04,Carnaval,ESTADUAL
2014-03-05,Quarta Feira de Cinzas,FACULTATIVO
2014-04-18,Sexta-Feira Santa,NACIONAL
2014-04-21,Dia de Tiradentes,NACIONAL
2014-04-23,Dia de São Jorge,ESTADUAL
2014-05-01,Dia do Trabalho,NACIONAL
2014-06-19,Corpus Christi,FACULTATIVO
2014-09-07,Independência do Brasil,NACIONAL
2014-10-12,Nossa Senhora Aparecida,NACIONAL
2014-10-28,Dia do Servidor Público,FACULTATIVO
2014-11-02,Dia de Finados,NACIONAL
2014-11-15,Proclamação da República,NACIONAL
2014-11-20,Dia da Consciência Negra,ESTADUAL
2014-12-25,Natal,NACIONAL
2014-12-31,"Após o meio-dia, Véspera de Ano Novo",FACULTATIVO
2015-01-01,Ano Novo,NACIONAL
2015-01-20,"Dia de São Sebastião, Padroeiro da cidade",MUNICIPAL
2015-02-16,Segunda de Carnaval,FACULTATIVO
2015-02-17,Carnaval,ESTADUAL
2015-02-18,Quarta Feira de Cinzas,FACULTATIVO
2015-04-03,Sexta-Feira Santa,NACIONAL
2015-04-21,Dia de Tiradentes,NACIONAL
2015-04-23,Dia de São Jorge,ESTADUAL
2015-05-01,Dia do Trabalho,NACIONAL
2015-06-04,Corpus Christi,FACULTATIVO
2015-09-07,Independência do Brasil,NACIONAL
2015-10-12,Nossa Senhora Aparecida,NACIONAL
2015-10-28,Dia do Servidor Público,FACULTATIVO
2015-11-02,Dia de Finados,NACIONAL
2015-11-15,Proclamação da República,NACIONAL
2015-11-20,Dia da Consciência Negra,ESTADUAL
2015-12-25,Natal,NACIONAL
2015-12-31,"Após o meio-dia, Véspera de Ano Novo",FACULTATIVO
2016-01-01,Ano Novo,NACIONAL
2016-01-20,"Dia de São Sebastião, Padroeiro da cidade",MUNICIPAL
2016-02-08,Segunda de Carnaval,FACULTATIVO
2016-02-09,Carnaval,ESTADUAL
2016-02-10,Quarta Feira de Cinzas,FACULTATIVO
2016-03-25,Sexta-Feira Santa,NACIONAL
2016-04-21,Dia de Tiradentes,NACIONAL
2016-04-23,Dia de São Jorge,ESTADUAL
2016-05-01,Dia do Trabalho,NACIONAL
2016-05-26,Corpus Christi,FACULTATIVO
2016-09-07,Independência do Brasil,NACIONAL
2016-10-12,Nossa Senhora Aparecida,NACIONAL
2016-10-28,Dia do Servidor Público,FACULTATIVO
2016-11-02,Dia de Finados,NACIONAL
2016-11-15,Proclamação da República,NACIONAL
2016-11-20,Dia da Consciência Negra,ESTADUAL
2016-12-25,Natal,NACIONAL
2016-12-31,"Após o meio-dia, Véspera de Ano Novo",FACULTATIVO
2017-01-01,Ano Novo,NACIONAL
2017-01-20,"Dia de São Sebastião, Padroeiro da cidade",MUNICIPAL
2017-02-27,Segunda de Carnaval,FACULTATIVO
2017-02-28,Carnaval,ESTADUAL
2017-03-01,Quarta Feira de Cinzas,FACULTATIVO
2017-04-14,Sexta-Feira Santa,NACIONAL
2017-04-21,Dia de Tiradentes,NACIONAL
2017-04-23,Dia de São Jorge,ESTADUAL
2017-05-01,Dia do Trabalho,NACIONAL
2017-06-15,Corpus Christi,FACULTATIVO
2017-09-07,Independência do Brasil,NACIONAL
2017-10-12,Nossa Senhora Aparecida,NACIONAL
2017-10-28,Dia do Servidor Público,FACULTATIVO
2017-11-02,Dia de Finados,NACIONAL
2017-11-15,Proclamação da República,NACIONAL
